Source Language,Formatted Translations,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish,ullinn,1. or<br>2. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Sundanese,ullr ullinn,1. st<br>2. ullr<br>3. ull ull<br>4. Linn<br>5. linn<br>6. ullin<br>7.  ullin<br>8. r ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Swahili,ullr ullnn,1. st<br>2. ullr<br>3. ullrr u<br>4. ullrr ull<br>5. ullrr ullnn<br>6. etc<br>7. etc<br>8. ullrr ullnn,,,,,,,,,,,,,,,,,,,,,,,,,
Swedish,ullr ullinn,1. wool<br>2. wool<br>3. wool<br>4. wooll wooll<br>5. ullr wool<br>6. wool<br>7. in<br>8. linen<br>9. linn<br>10. woolen<br>11.  woolen<br>12. r wool<br>13. wool,,,,,,,,,,,,,,,,,,,,,,,,,
Tagalog Filipino,ullr ullinn,1. st<br>2. ullr<br>3. ullrr<br>4. ullrr ull<br>5. ullrr ulli<br>6. ullrr ullin<br>7. linn<br>8. ullin<br>9.  ullin<br>10. lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Tajik,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ð»Ð¸Ð½Ð½,1. u<br>2. st<br>3. ul<br>4. ulr<br>5. ulr<br>6. ullr u<br>7. ulr ul<br>8. ulr ul<br>9. ullar ulli<br>10. Ullr Ullin<br>11. ullar ullinn<br>12. nn<br>13. inn<br>14. linn<br>15. llinn<br>16. ullinn<br>17.  ullinn<br>18. r ullinn<br>19. lr ullinn<br>20. llr ullinn<br>21. ullar ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil,ulllr ullinn,1. ulllr,,,,,,,,,,,,,,,,,,,,,,,,,
Tatar,ÑƒÐ»Ð»Ñ€,1. he<br>2. he is<br>3. st<br>4. ullr<br>5. lr<br>6. llr<br>7. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Telugu,à°‰à°²à±à°²à±à°°à± à°‰à°²à±à°²à°¿à°¨à±,1. U<br>2. Ula<br>3. Ul<br>4. Chili<br>5. Ull<br>6. Ullra<br>7. Ullr<br>8. Ullr<br>9. Ullr U<br>10. Ullr Ula<br>11. Ullr Ul<br>12. Ullrr Ulla<br>13. Ullr Ulli<br>14. Ullr Onion<br>15. Ullr Ullin<br>16. n<br>17. In<br>18. Lynn<br>19. Lin<br>20. Llyn<br>21. Ullin<br>22.  Ullin<br>23. Ullin<br>24. R Ullin<br>25. Mr. Ullin<br>26. Lr Ullin<br>27. Lr Ullin<br>28. Llr Ullin<br>29. Ullr Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Thai,à¸­à¸¸à¸¥à¸¥à¸´à¸™à¸™à¹Œ,1. O<br>2. Oh<br>3. Ul<br>4. Ull<br>5. Ulli<br>6. Ullin<br>7. Ullin<br>8. Ullin<br>9. nn<br>10. NN<br>11. Inn<br>12. Lynn<br>13. Linn<br>14. Ullin<br>15. Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish,ullr ullinn,1. ullr<br>2. ullr ull<br>3. ulr ulli<br>4. ulr ullin<br>5. ulr ullinn<br>6. ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmen,ullr,1. big,,,,,,,,,,,,,,,,,,,,,,,,,
Twi Akan,ullr ullinn na É”kyerÉ›wee,1. ullr<br>2. ullr ullinn<br>3. ullr the ullinn<br>4. ullr the ullinn<br>5. ullr ullinn or<br>6. ullr ullinn oak<br>7. ullr ullinn is hot<br>8. ullr ullinn tomorrow<br>9. ullr ullinn to catch<br>10. ullr ullinn shows<br>11. ullr ullinn<br>12. ullr ullinn<br>13. by ullr ullinn<br>14. yes<br>15. it drank<br>16. rewee<br>17. it disappeared<br>18. disappeared<br>19. wrote the script<br>20. he wrote<br>21.  he wrote<br>22. who wrote the script<br>23. and he wrote<br>24.  and he wrote<br>25. n was written by<br>26. nn and wrote<br>27. inn and wrote<br>28. linn and the author<br>29. llinn and the author<br>30. written by ullinn<br>31.  written by ullinn<br>32. by r ullinn<br>33. by lr ullinn<br>34. by llr ullinn<br>35. by ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian,ullr ullinn,1. street<br>2. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Urdu,ulr ullinn,1. ulr<br>2. Ullin<br>3.  Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Uyghur,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbek,ullr ullinn,1. she is<br>2. ullr<br>3. ull ull ull<br>4. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnamese,ullr ullinn,1. ullr<br>2. Linn<br>3. linnn,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh,ullr ullinn,1. all<br>2. all<br>3. very well<br>4. linn<br>5. ullin<br>6.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Xhosa,ulln ulln,1. ulln<br>2. ull ull,,,,,,,,,,,,,,,,,,,,,,,,,
Yiddish,ullr ullinn,1. ullr<br>2. Ullin<br>3.  Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Yoruba,ullr á»linn,1. ullr<br>2. ullrr<br>3. ullr<br>4. oh god<br>5. ullr music<br>6. ullr olinn<br>7. Linn<br>8. the city<br>9.  the city<br>10. r olinn<br>11. lr<br>12. llr olinn<br>13. ullr olinn,,,,,,,,,,,,,,,,,,,,,,,,,
Zulu,ulln,,,,,,,,,,,,,,,,,,,,,,,,,,
