Source,Translation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Afrikaans,ullr ullinn,,you,ullr,you,ull ull,in a,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,ullr ullinn,,seat,olive,olive oil,olive oil,ulr ul,olive oil,olive tree,olive oil,n N,linn,olive,olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ullr ullinn,,ullr,ulr u,ulr ul,ulr ulli,ulr ullin,ulr ullinn,ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,ullr ulinn,,u:,street:,ull:,ullr:,ullr:,ullr u:,ullr ul:,ullr uli:,ullr ulin:,ullr ulinn:,nn:,inn:,Linn:,ulin:,ulin:,r ulinn:,lr ulinn:,llr ulinn:,ullr ulinn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenian,ullr ullinn,,st,ullr,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somali,ullr ullin,,stick,ullr,Ullrr u,ulrr ul,ull ull,Ullur Ullin,that,lemon,No,Ullur Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish,ullinn,,or,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundanese,ullr ullinn,,st,ullr,ull ull,Linn,linn,ullin,ullin,r ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swahili,ullr ullnn,,st,ullr,ullrr u,ullrr ull,ullrr ullnn,etc,etc,ullrr ullnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swedish,ullr ullinn,,wool,wool,wool,wooll wooll,ullr wool,wool,in,linen,linn,woolen,woolen,r wool,wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagalog Filipino,ullr ullinn,,st,ullr,ullrr,ullrr ull,ullrr ulli,ullrr ullin,linn,ullin,ullin,lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajik,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ð»Ð¸Ð½Ð½,,u,st,ul,ulr,ulr,ullr u,ulr ul,ulr ul,ullar ulli,Ullr Ullin,ullar ullinn,nn,inn,linn,llinn,ullinn,ullinn,r ullinn,lr ullinn,llr ullinn,ullar ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil,ulllr ullinn,,ulllr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatar,ÑƒÐ»Ð»Ñ€,,he,he is,st,ullr,lr,llr,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telugu,à°‰à°²à±à°²à±à°°à± à°‰à°²à±à°²à°¿à°¨à±,,U,Ula,Ul,Chili,Ull,Ullra,Ullr,Ullr,Ullr U,Ullr Ula,Ullr Ul,Ullrr Ulla,Ullr Ulli,Ullr Onion,Ullr Ullin,n,In,Lynn,Lin,Llyn,Ullin,Ullin,Ullin,R Ullin,Mr,Lr Ullin,Lr Ullin,Llr Ullin,Ullr Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai,à¸­à¸¸à¸¥à¸¥à¸´à¸™à¸™à¹Œ,,O,Oh,Ul,Ull,Ulli,Ullin,Ullin,Ullin,nn,NN,Inn,Lynn,Linn,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish,ullr ullinn,,ullr,ullr ull,ulr ulli,ulr ullin,ulr ullinn,ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmen,ullr,,big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twi Akan,ullr ullinn na É”kyerÉ›wee,,ullr,ullr ullinn,ullr the ullinn,ullr the ullinn,ullr ullinn or,ullr ullinn oak,ullr ullinn is hot,ullr ullinn tomorrow,ullr ullinn to catch,ullr ullinn shows,ullr ullinn,ullr ullinn,by ullr ullinn,yes,it drank,rewee,it disappeared,disappeared,wrote the script,he wrote,he wrote,who wrote the script,and he wrote,and he wrote,n was written by,nn and wrote,inn and wrote,linn and the author,llinn and the author,written by ullinn,written by ullinn,by r ullinn,by lr ullinn,by llr ullinn,by ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian,ullr ullinn,,street,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urdu,ulr ullinn,,ulr,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uyghur,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbek,ullr ullinn,,she is,ullr,ull ull ull,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnamese,ullr ullinn,,ullr,Linn,linnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh,ullr ullinn,,all,all,very well,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xhosa,ulln ulln,,ulln,ull ull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiddish,ullr ullinn,,ullr,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoruba,ullr á»linn,,ullr,ullrr,ullr,oh god,ullr music,ullr olinn,Linn,the city,the city,r olinn,lr,llr olinn,ullr olinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
